content,score,sentiment_polarity,sentiment_subjective,sentiment_rating,tokens,clean_text,polarity_clean,sentiment_clean
aplikasi udh 2 hri error gada perbaikan,1,0.0,0.0,Negative,"['hri', 'error', 'gada', 'baik']",hri error gada baik,0.0,Neutral
"tolong dipermudah proses pembatalan pesanan, ini penting soalnya, kalau salah alamat kirimnya kan bisa di batalkan atau ada item barang yg mau diganti atau ditambahkan tanpa harus nelp customer service",3,0.0,0.0,Neutral,"['tolong', 'mudah', 'proses', 'batal', 'pesan', 'salah', 'alamat', 'kirim', 'batal', 'item', 'barang', 'ganti', 'nelp', 'customer', 'service']",tolong mudah proses batal pesan salah alamat kirim batal item ganti customer service,0.0,Neutral
saya di Kediri pelayanan lama aplikasi eror tidak ada keterangan akan di kirim kapan jadi berjam-jam saya menunggu tanpa ada yang bisa di hubungi untuk konfirmasi,1,0.0,0.0,Negative,"['diri', 'layan', 'eror', 'terang', 'kirim', 'jam', 'jam', 'tunggu', 'hubung', 'konfirmasi']",diri eror terang kirim jam jam tunggu hubung konfirmasi,0.0,Neutral
"belanja mudah, murah dan nyaman",5,0.0,0.0,Positive,"['belanja', 'mudah', 'murah', 'nyaman']",mudah murah nyaman,0.0,Neutral
belanja d superindo sangat memuaskan. harga nya murah terjangkau,5,0.0,0.0,Positive,"['belanja', 'd', 'muas', 'harga', 'murah', 'jangkau']",d muas murah jangkau,0.0,Neutral
tlkubsering update lahh,1,0.0,0.0,Negative,"['tlkubsering', 'lahh']",lahh,0.0,Neutral
semua produk yg di jual lengkap,5,0.0,0.0,Positive,"['produk', 'jual', 'lengkap']",produk jual lengkap,0.0,Neutral
good,5,0.7,0.6000000000000001,Positive,['good'],good,0.7,Positive
depkripsi nya tidak rinci,1,0.0,0.0,Negative,"['depkripsi', 'rinci']",,0.0,Neutral
apaan jir ini apk diperbarui malah gabisa dibuka,1,0.0,0.0,Negative,"['jir', 'apk', 'baru', 'gabisa', 'buka']",apk baru gabisa,0.0,Neutral
pertama kalinya belanja lewat aplikasi bener-bener ngecewain banget,1,0.0,0.0,Negative,"['kali', 'belanja', 'bener', 'bener', 'ngecewain', 'banget']",kali bener bener,0.0,Neutral
ok,5,0.5,0.5,Positive,['ok'],,0.0,Neutral
"Mantap! My Super Indo terus update hal hal baru dan berinovasi terus, ditunggu ya!",5,0.41666666666666663,0.6666666666666666,Positive,"['mantap', 'my', 'super', 'indo', 'inovasi', 'tunggu']",mantap my indo inovasi tunggu,0.0,Neutral
gimana cara ajukan pengembalian dana nya pesanan udah di batalin dana belum juga di kirim,1,0.0,0.0,Negative,"['gimana', 'aju', 'kembali', 'dana', 'pesan', 'udah', 'batalin', 'dana', 'kirim']",gimana aju kembali dana pesan udah batalin dana kirim,0.0,Neutral
ga bisa pesan antar harus ambil di toko trus buat apa kalian bikin aplikasi ini astagaaaaaa.... ya mending saya langsung ke toko ini mah,1,0.0,0.0,Negative,"['pesan', 'ambil', 'toko', 'trus', 'bikin', 'astagaaaaaa', 'mending', 'langsung', 'toko', 'mah']",pesan ambil toko trus bikin mending langsung toko mah,0.0,Neutral
"ngelag parah, pas refresh malah ilang semua. harus ditambahkan lagi, terus update produk habis tidak realtime",1,0.0,0.0,Negative,"['ngelag', 'parah', 'pas', 'refresh', 'ilang', 'produk', 'habis', 'realtime']",ngelag parah pas refresh ilang produk habis,0.0,Neutral
cukup lengkap,5,0.0,0.0,Positive,['lengkap'],lengkap,0.0,Neutral
"aplikasi ga bisa di buka, parah!",1,0.0,0.0,Negative,"['buka', 'parah']",parah,0.0,Neutral
"belanja di superindo cilacap, masukin nomer hp member, tapi ga dpt digital stiker. padahal belanja nya 700rb haha lucu deh",2,0.1,0.15,Negative,"['belanja', 'cilacap', 'masukin', 'nomer', 'hp', 'member', 'dpt', 'digital', 'stiker', 'belanja', 'rb', 'haha', 'lucu']",cilacap masukin nomer hp member dpt digital stiker rb haha lucu,0.1,Positive
mudah murah dekat lengkap,5,0.0,0.0,Positive,"['mudah', 'murah', 'lengkap']",mudah murah lengkap,0.0,Neutral
Good,5,0.7,0.6000000000000001,Positive,['good'],good,0.7,Positive
"aplikasi apaan sih ini, setiap mau di pake harus di update",4,0.0,0.0,Positive,['pake'],pake,0.0,Neutral
setiap bulan selalu belanja bulanan yg paling sedih nggak punya Member...p,5,0.0,0.0,Positive,"['belanja', 'bulan', 'sedih', 'nggak', 'member', 'p']",bulan sedih nggak member p,0.0,Neutral
"habis di update, semua gambar dalam aikasi tidak bisa di lihat ..",1,0.0,0.0,Negative,"['habis', 'gambar', 'aikasi', 'lihat']",habis gambar lihat,0.0,Neutral
ok,5,0.5,0.5,Positive,['ok'],,0.0,Neutral
banyak promonya dong,5,0.0,0.0,Positive,['promonya'],promonya,0.0,Neutral
selalu lengkap dan segar,5,0.0,0.0,Positive,"['lengkap', 'segar']",lengkap segar,0.0,Neutral
"uda Belanja banyak2 Kumpulin stiker capek2. pas mau tuker hadiah nya, malah persediaan uda abis. Padahal waktu penukaran masih lama",1,0.0,0.0,Negative,"['uda', 'belanja', 'kumpulin', 'stiker', 'capek', 'pas', 'tuker', 'hadiah', 'sedia', 'uda', 'abis', 'tukar']",uda kumpulin stiker capek pas tuker hadiah sedia uda abis tukar,0.0,Neutral
josss,5,0.0,0.0,Positive,['josss'],josss,0.0,Neutral
baik,4,0.0,0.0,Positive,[],,0.0,Neutral
"harga bener2murah, dibawah harga toko2lain. barang tertata rapi memudahkan konsumen mencari barang yg dibeli",5,0.0,0.0,Positive,"['harga', 'bener', 'murah', 'bawah', 'harga', 'toko', 'barang', 'tata', 'rapi', 'mudah', 'konsumen', 'cari', 'barang', 'beli']",bener murah bawah toko tata rapi mudah konsumen cari beli,0.0,Neutral
"barang komplit dan murah, good",5,0.7,0.6000000000000001,Positive,"['barang', 'komplit', 'murah', 'good']",komplit murah good,0.7,Positive
