content,score,sentiment_polarity,sentiment_subjective,sentiment_rating,wordCount,uppercaseCharCount,specialCharCount
aplikasi udh 2 hri error gada perbaikan,1,0.0,0.0,Negative,7,0,0
"tolong dipermudah proses pembatalan pesanan, ini penting soalnya, kalau salah alamat kirimnya kan bisa di batalkan atau ada item barang yg mau diganti atau ditambahkan tanpa harus nelp customer service",3,0.0,0.0,Neutral,30,0,2
saya di Kediri pelayanan lama aplikasi eror tidak ada keterangan akan di kirim kapan jadi berjam-jam saya menunggu tanpa ada yang bisa di hubungi untuk konfirmasi,1,0.0,0.0,Negative,26,1,1
"belanja mudah, murah dan nyaman",5,0.0,0.0,Positive,5,0,1
belanja d superindo sangat memuaskan. harga nya murah terjangkau,5,0.0,0.0,Positive,9,0,1
tlkubsering update lahh,1,0.0,0.0,Negative,3,0,0
semua produk yg di jual lengkap,5,0.0,0.0,Positive,6,0,0
good,5,0.7,0.6000000000000001,Positive,1,0,0
depkripsi nya tidak rinci,1,0.0,0.0,Negative,4,0,0
apaan jir ini apk diperbarui malah gabisa dibuka,1,0.0,0.0,Negative,8,0,0
pertama kalinya belanja lewat aplikasi bener-bener ngecewain banget,1,0.0,0.0,Negative,8,0,1
ok,5,0.5,0.5,Positive,1,0,0
"Mantap! My Super Indo terus update hal hal baru dan berinovasi terus, ditunggu ya!",5,0.41666666666666663,0.6666666666666666,Positive,14,4,3
gimana cara ajukan pengembalian dana nya pesanan udah di batalin dana belum juga di kirim,1,0.0,0.0,Negative,15,0,0
ga bisa pesan antar harus ambil di toko trus buat apa kalian bikin aplikasi ini astagaaaaaa.... ya mending saya langsung ke toko ini mah,1,0.0,0.0,Negative,24,0,4
"ngelag parah, pas refresh malah ilang semua. harus ditambahkan lagi, terus update produk habis tidak realtime",1,0.0,0.0,Negative,16,0,3
cukup lengkap,5,0.0,0.0,Positive,2,0,0
"aplikasi ga bisa di buka, parah!",1,0.0,0.0,Negative,6,0,2
"belanja di superindo cilacap, masukin nomer hp member, tapi ga dpt digital stiker. padahal belanja nya 700rb haha lucu deh",2,0.1,0.15,Negative,20,0,3
mudah murah dekat lengkap,5,0.0,0.0,Positive,4,0,0
Good,5,0.7,0.6000000000000001,Positive,1,1,0
"aplikasi apaan sih ini, setiap mau di pake harus di update",4,0.0,0.0,Positive,11,0,1
setiap bulan selalu belanja bulanan yg paling sedih nggak punya Member...p,5,0.0,0.0,Positive,11,1,3
"habis di update, semua gambar dalam aikasi tidak bisa di lihat ..",1,0.0,0.0,Negative,12,0,3
ok,5,0.5,0.5,Positive,1,0,0
banyak promonya dong,5,0.0,0.0,Positive,3,0,0
selalu lengkap dan segar,5,0.0,0.0,Positive,4,0,0
"uda Belanja banyak2 Kumpulin stiker capek2. pas mau tuker hadiah nya, malah persediaan uda abis. Padahal waktu penukaran masih lama",1,0.0,0.0,Negative,20,3,3
josss,5,0.0,0.0,Positive,1,0,0
baik,4,0.0,0.0,Positive,1,0,0
"harga bener2murah, dibawah harga toko2lain. barang tertata rapi memudahkan konsumen mencari barang yg dibeli",5,0.0,0.0,Positive,14,0,2
"barang komplit dan murah, good",5,0.7,0.6000000000000001,Positive,5,0,1
update teroz ngalah2in mbankingnya bca,1,0.0,0.0,Negative,5,0,0
"untuk belanja off line memuaskan, karena barang lengkap dan fresh tapi pengalaman belanja online agak mengecewakan karena pesan dari pagi, sore baru diantar.",2,0.3,0.5,Negative,23,0,3
"Notifikasi ganggu, dan jelek suara notifnya mending saya nonaktifin aja",1,0.0,0.0,Negative,10,1,1
mantap hemat kuat dan cepat,5,0.0,0.0,Positive,5,0,0
sudah diupgrade tapi gak bisa dibuka,4,0.0,0.0,Positive,6,0,0
aplikasi nya eror mulu,1,0.0,0.0,Negative,4,0,0
bagus,5,0.0,0.0,Positive,1,0,0
baik,5,0.0,0.0,Positive,1,0,0
keren,5,0.0,0.0,Positive,1,0,0
belanja kebutuhan sehari hari pasti lebih murah dan lebih untung pakai this aplikasi my Super indo apalagi saat Ramadhan dan Lebaran dan acara kumoul kumpul dan Natal dan Tahun Baru serta keagamaan lainnya pastinya lebih murah disini aja dimana sih ya di My Super Indo recomended aplikasi and tray this aplikasi good price kk,5,0.45555555555555555,0.6444444444444445,Positive,54,9,0
"informatif dan memudahkan kalau mau belanja tapi belum sempet, tinggal klik klik belanjaan sampe rumah. atauuu bisa juga buat cek cek diskonan kalo pas mau belanja bund biar budgeting lebih aman hehehe. goodjob superindoo👍🏻",5,0.0,0.0,Positive,34,0,3
bagus,5,0.0,0.0,Positive,1,0,0
Belanja di Superindo nyaman pool gais,5,0.0,0.0,Positive,6,2,0
lengkap,5,0.0,0.0,Positive,1,0,0
bisa dapet diskon belanja. dapet info barang2 promo,5,0.0,0.0,Positive,8,0,1
kenapa aplikasi sering error,4,0.0,0.0,Positive,4,0,0
belanja disuperindo lengkap dan nyaman t4 nya,5,0.0,0.0,Positive,7,0,0
sangat membantu cek promo,5,0.0,0.0,Positive,4,0,0
"aplikasi sering pembaruan ,semakin lemot",2,0.0,0.0,Negative,5,0,1
ok,5,0.5,0.5,Positive,1,0,0
informatif,5,0.0,0.0,Positive,1,0,0
Hanya untuk tau informasi yg lagi diskon sama buat scan barcode aja,4,0.0,0.0,Positive,12,1,0
ok,5,0.5,0.5,Positive,1,0,0
sangat meyenskan dan barang selalu fres,5,0.0,0.0,Positive,6,0,0
suka jadi tau banyak promo,5,0.0,0.0,Positive,5,0,0
"memudahkan biar tau ada promo apa aja.cuma syang ada superindo yg d kejaksan kasir judes,dan dah 2x kya gtu tdny mau antri d kasir sblh d suruh pindah k dia pas giliran dah k dia eh malah d suruh pindah lagi k sblh ktny eror hrsny d cek dulu ya.ga kaya superindo kesambi enak ramah2.krna sya blnja tuh sering bngt...",4,0.0,0.0,Positive,60,0,7
mantab,5,0.0,0.0,Positive,1,0,0
baik,5,0.0,0.0,Positive,1,0,0
sangat membantu,5,0.0,0.0,Positive,2,0,0
kurang banyak catalog promo'a,4,0.0,0.0,Positive,4,0,1
memuskan,5,0.0,0.0,Positive,1,0,0
Good Service,5,0.7,0.6000000000000001,Positive,2,2,0
senang belanja di Superindo karna harga bersaing dan mendapatkan poin berhadiah menarik,5,0.0,0.0,Positive,12,1,0
kurang lengkap daftar barangnya,4,0.0,0.0,Positive,4,0,0
ok,5,0.5,0.5,Positive,1,0,0
good..,5,0.7,0.6000000000000001,Positive,1,0,2
disebagian toko mbak dan mas nya ramah ada sebagian yg kurang ramah sebenernya asik belanja di superindo,4,0.0,0.0,Positive,17,0,0
"Lebih dekat , lebih mudah harga lumayan murah 🙏",5,0.0,0.0,Positive,9,1,1
selalu puas belanja di sini.,5,0.0,0.0,Positive,5,0,1
senang belanja di My Super Indo karyawannya ramah2&baik2,5,0.3333333333333333,0.6666666666666666,Positive,8,3,1
ok,5,0.5,0.5,Positive,1,0,0
Info diskon terupdate,5,0.0,0.0,Positive,3,1,0
good job,5,0.7,0.6000000000000001,Positive,2,0,0
kenapa selalu minta update?,1,0.0,0.0,Negative,4,0,1
"Belanja mudah, karyawan ramah, barang super hemat.",5,0.3333333333333333,0.6666666666666666,Positive,7,1,3
Barang lengkap dan belanja nyaman,5,0.0,0.0,Positive,5,1,0
kereen,5,0.0,0.0,Positive,1,0,0
harga promo selalu menggoda untuk segera ke Superindo🤗,5,0.0,0.0,Positive,8,1,0
layanan pengaduan konsumen nya engga ada. chatnya engga bisa dipake. tidak ada nomor kontak untuk pengaduan keluhan konsumen,1,0.0,0.0,Negative,18,0,2
"Paling favorit belanja disini, nyaman, pelayanan ramah, lumayan lengkap, berkualitas dan sering diskon.",5,0.0,0.0,Positive,13,1,5
baik,4,0.0,0.0,Positive,1,0,0
di update malah makin ndak bisa di buka ini gimana ya?,3,0.0,0.0,Neutral,11,0,1
"tempat belanja yg menyenangkan bersih,lengkap dan banyak promo menarik",5,0.0,0.0,Positive,9,0,1
"nyaman, ramah dan murah bersih",5,0.0,0.0,Positive,5,0,1
sangat puas berbelanja di sini,5,0.0,0.0,Positive,5,0,0
oke siip,5,0.0,0.0,Positive,2,0,0
good,5,0.7,0.6000000000000001,Positive,1,0,0
bagus untuk info,5,0.0,0.0,Positive,3,0,0
sangat membantu bagi ibu2 yg tdk bisa keluar rmh Krn ada bayi,5,0.0,0.0,Positive,12,1,0
pegawainya ramah semua... soal harga masih terjangkau,5,0.0,0.0,Positive,7,0,3
untuk wilayah bogor semua okee.. tp knp untuk digital sticker ny hrs di riset yaaa pdhal kan simpen sj,5,0.0,0.0,Positive,19,0,2
ini kenapa di update malah gabisa ke buka,2,0.0,0.0,Negative,8,0,0
Menyenangkan,5,0.0,0.0,Positive,1,1,0
Pelayanan memuaskan👍,5,0.0,0.0,Positive,2,1,0
good aplikasi,5,0.7,0.6000000000000001,Positive,2,0,0
"Gak bisa digunakan utk pengantaran, selalu error tiap milih opsi pengantaran (grab/gosend) mohon diperbaiki 🙏🏻",5,0.0,0.0,Positive,15,1,4
"brengsek, ini belanjaan beli pagi dateng sore kelaperan gua, praktis apaan gada praktisnya",1,0.0,0.0,Negative,13,0,2
"kenapa ya harus bolak balik update, saya baru update tgl 1 Maret, skrg sudah minta update lagi ..",3,0.0,0.0,Neutral,18,1,4
