content,score,thumbsUpCount,reviewCreatedVersion,at,replyContent,repliedAt,sentiment_polarity,sentiment_subjective,wordCount,uppercaseCharCount,specialCharCount,sentiment_rating,tokens,final_tokens,clean_text,polarity_clean,sentiment_clean
aplikasi udh 2 hri error gada perbaikan,1,0,21.00.000,2026-03-29 10:08:18,,,0.0,0.0,7,0,0,Negative,"['hri', 'error', 'gada', 'baik']","['hri', 'error', 'gada', 'baik']",hri error gada baik,0.0,Neutral
"tolong dipermudah proses pembatalan pesanan, ini penting soalnya, kalau salah alamat kirimnya kan bisa di batalkan atau ada item barang yg mau diganti atau ditambahkan tanpa harus nelp customer service",3,0,21.00.000,2026-03-29 09:24:51,,,0.0,0.0,30,0,2,Neutral,"['tolong', 'mudah', 'proses', 'batal', 'pesan', 'salah', 'alamat', 'kirim', 'batal', 'item', 'barang', 'ganti', 'nelp', 'customer', 'service']","['tolong', 'mudah', 'proses', 'batal', 'pesan', 'salah', 'alamat', 'kirim', 'batal', 'item', 'ganti', 'customer', 'service']",tolong mudah proses batal pesan salah alamat kirim batal item ganti customer service,0.0,Neutral
saya di Kediri pelayanan lama aplikasi eror tidak ada keterangan akan di kirim kapan jadi berjam-jam saya menunggu tanpa ada yang bisa di hubungi untuk konfirmasi,1,0,21.00.000,2026-03-28 20:02:26,,,0.0,0.0,26,1,1,Negative,"['diri', 'layan', 'eror', 'terang', 'kirim', 'jam', 'jam', 'tunggu', 'hubung', 'konfirmasi']","['diri', 'eror', 'terang', 'kirim', 'jam', 'jam', 'tunggu', 'hubung', 'konfirmasi']",diri eror terang kirim jam jam tunggu hubung konfirmasi,0.0,Neutral
"belanja mudah, murah dan nyaman",5,0,21.00.000,2026-03-28 13:24:39,,,0.0,0.0,5,0,1,Positive,"['belanja', 'mudah', 'murah', 'nyaman']","['mudah', 'murah', 'nyaman']",mudah murah nyaman,0.0,Neutral
belanja d superindo sangat memuaskan. harga nya murah terjangkau,5,0,21.00.000,2026-03-26 05:12:50,,,0.0,0.0,9,0,1,Positive,"['belanja', 'd', 'muas', 'harga', 'murah', 'jangkau']","['d', 'muas', 'murah', 'jangkau']",d muas murah jangkau,0.0,Neutral
tlkubsering update lahh,1,0,,2026-03-25 19:35:34,,,0.0,0.0,3,0,0,Negative,"['tlkubsering', 'lahh']",['lahh'],lahh,0.0,Neutral
semua produk yg di jual lengkap,5,0,20.03.000,2026-03-25 15:51:08,,,0.0,0.0,6,0,0,Positive,"['produk', 'jual', 'lengkap']","['produk', 'jual', 'lengkap']",produk jual lengkap,0.0,Neutral
good,5,0,14.00.000,2026-03-25 12:17:19,,,0.7,0.6000000000000001,1,0,0,Positive,['good'],['good'],good,0.7,Positive
depkripsi nya tidak rinci,1,0,21.00.000,2026-03-22 06:01:18,,,0.0,0.0,4,0,0,Negative,"['depkripsi', 'rinci']",[],,0.0,Neutral
apaan jir ini apk diperbarui malah gabisa dibuka,1,0,21.00.000,2026-03-21 20:48:53,,,0.0,0.0,8,0,0,Negative,"['jir', 'apk', 'baru', 'gabisa', 'buka']","['apk', 'baru', 'gabisa']",apk baru gabisa,0.0,Neutral
pertama kalinya belanja lewat aplikasi bener-bener ngecewain banget,1,0,21.00.000,2026-03-20 14:16:08,,,0.0,0.0,8,0,1,Negative,"['kali', 'belanja', 'bener', 'bener', 'ngecewain', 'banget']","['kali', 'bener', 'bener']",kali bener bener,0.0,Neutral
ok,5,0,20.03.000,2026-03-20 11:09:11,,,0.5,0.5,1,0,0,Positive,['ok'],[],,0.0,Neutral
"Mantap! My Super Indo terus update hal hal baru dan berinovasi terus, ditunggu ya!",5,0,,2026-03-20 04:44:59,,,0.41666666666666663,0.6666666666666666,14,4,3,Positive,"['mantap', 'my', 'super', 'indo', 'inovasi', 'tunggu']","['mantap', 'my', 'indo', 'inovasi', 'tunggu']",mantap my indo inovasi tunggu,0.0,Neutral
