Word,Frequency
member,251
super,237
ok,235
murah,222
login,215
lengkap,196
diskon,192
good,190
indo,182
aplikasi,177
masuk,170
susah,163
nyaman,162
email,157
online,156
daftar,156
udah,140
ramah,137
pas,137
mantap,135
promonya,134
tolong,131
suka,130
produk,126
baik,123
bikin,121
pakai,114
butuh,114
beli,113
rumah,112
toko,110
baru,105
my,104
refund,103
senang,100
apk,99
oke,98
kasir,98
suruh,97
ribet,95
hemat,93
pake,91
katalog,89
kasih,89
coba,86
jam,85
bayar,83
kirim,83
info,82
cepat,82
segar,74
upgrade,72
cari,71
buah,71
muas,71
pesan,70
kali,68
minggu,68
puas,68
liat,67
kecewa,66
in,66
proses,66
klo,66
hp,65
pilih,64
manfaat,64
lumayan,64
lot,63
log,63
cek,62
langsung,61
ulang,60
gagal,59
password,58
moga,58
download,58
mulu,57
habis,56
error,56
langgan,56
tau,55
fresh,55
jangkau,54
gimana,54
tampil,53
terima,52
loading,51
tarik,50
muncul,50
guna,49
no,48
sedia,48
ambil,48
sulit,47
ganti,47
nggak,47
enak,47
jelek,47
akun,47
