Sentiment,Word,Frequency
Negative,apk,67
Negative,aplikasi,102
Negative,baik,72
Negative,beli,67
Negative,bikin,90
Negative,daftar,131
Negative,email,137
Negative,jam,68
Negative,login,187
Negative,masuk,124
Negative,member,111
Negative,online,98
Negative,pakai,76
Negative,pas,81
Negative,refund,86
Negative,ribet,71
Negative,suruh,78
Negative,susah,119
Negative,tolong,89
Negative,udah,108
Neutral,aplikasi,18
Neutral,baik,16
Neutral,baru,19
Neutral,cari,16
Neutral,indo,13
Neutral,kali,13
Neutral,kasir,12
Neutral,katalog,20
Neutral,klo,16
Neutral,login,14
Neutral,masuk,13
Neutral,member,24
Neutral,pas,16
Neutral,refund,13
Neutral,suka,14
Neutral,super,12
Neutral,susah,23
Neutral,toko,13
Neutral,tolong,18
Neutral,udah,12
Positive,butuh,100
Positive,diskon,166
Positive,good,187
Positive,hemat,87
Positive,indo,143
Positive,info,69
Positive,lengkap,174
Positive,mantap,133
Positive,member,116
Positive,murah,210
Positive,nyaman,148
Positive,ok,219
Positive,oke,89
Positive,produk,84
Positive,promonya,115
Positive,ramah,127
Positive,rumah,80
Positive,senang,98
Positive,suka,94
Positive,super,193
