content,score,sentiment_polarity,sentiment_subjective,sentiment_rating,wordCount,uppercaseCharCount,specialCharCount
terlalu sering minta di update,4,0.0,0.0,Positive,5,0,0
update teruss...capek deh,3,0.0,0.0,Neutral,3,0,3
aplikasi udh 2 hri error gada perbaikan,1,0.0,0.0,Negative,7,0,0
"tolong dipermudah proses pembatalan pesanan, ini penting soalnya, kalau salah alamat kirimnya kan bisa di batalkan atau ada item barang yg mau diganti atau ditambahkan tanpa harus nelp customer service",3,0.0,0.0,Neutral,30,0,2
saya di Kediri pelayanan lama aplikasi eror tidak ada keterangan akan di kirim kapan jadi berjam-jam saya menunggu tanpa ada yang bisa di hubungi untuk konfirmasi,1,0.0,0.0,Negative,26,1,1
"belanja mudah, murah dan nyaman",5,0.0,0.0,Positive,5,0,1
belanja d superindo sangat memuaskan. harga nya murah terjangkau,5,0.0,0.0,Positive,9,0,1
tlkubsering update lahh,1,0.0,0.0,Negative,3,0,0
semua produk yg di jual lengkap,5,0.0,0.0,Positive,6,0,0
good,5,0.7,0.6000000000000001,Positive,1,0,0
depkripsi nya tidak rinci,1,0.0,0.0,Negative,4,0,0
apaan jir ini apk diperbarui malah gabisa dibuka,1,0.0,0.0,Negative,8,0,0
pertama kalinya belanja lewat aplikasi bener-bener ngecewain banget,1,0.0,0.0,Negative,8,0,1
ok,5,0.5,0.5,Positive,1,0,0
"Mantap! My Super Indo terus update hal hal baru dan berinovasi terus, ditunggu ya!",5,0.41666666666666663,0.6666666666666666,Positive,14,4,3
gimana cara ajukan pengembalian dana nya pesanan udah di batalin dana belum juga di kirim,1,0.0,0.0,Negative,15,0,0
ga bisa pesan antar harus ambil di toko trus buat apa kalian bikin aplikasi ini astagaaaaaa.... ya mending saya langsung ke toko ini mah,1,0.0,0.0,Negative,24,0,4
"ngelag parah, pas refresh malah ilang semua. harus ditambahkan lagi, terus update produk habis tidak realtime",1,0.0,0.0,Negative,16,0,3
cukup lengkap,5,0.0,0.0,Positive,2,0,0
"aplikasi ga bisa di buka, parah!",1,0.0,0.0,Negative,6,0,2
"belanja di superindo cilacap, masukin nomer hp member, tapi ga dpt digital stiker. padahal belanja nya 700rb haha lucu deh",2,0.1,0.15,Negative,20,0,3
mudah murah dekat lengkap,5,0.0,0.0,Positive,4,0,0
Good,5,0.7,0.6000000000000001,Positive,1,1,0
"aplikasi apaan sih ini, setiap mau di pake harus di update",4,0.0,0.0,Positive,11,0,1
setiap bulan selalu belanja bulanan yg paling sedih nggak punya Member...p,5,0.0,0.0,Positive,11,1,3
"habis di update, semua gambar dalam aikasi tidak bisa di lihat ..",1,0.0,0.0,Negative,12,0,3
ok,5,0.5,0.5,Positive,1,0,0
banyak promonya dong,5,0.0,0.0,Positive,3,0,0
selalu lengkap dan segar,5,0.0,0.0,Positive,4,0,0
"uda Belanja banyak2 Kumpulin stiker capek2. pas mau tuker hadiah nya, malah persediaan uda abis. Padahal waktu penukaran masih lama",1,0.0,0.0,Negative,20,3,3
josss,5,0.0,0.0,Positive,1,0,0
baik,4,0.0,0.0,Positive,1,0,0
"harga bener2murah, dibawah harga toko2lain. barang tertata rapi memudahkan konsumen mencari barang yg dibeli",5,0.0,0.0,Positive,14,0,2
"barang komplit dan murah, good",5,0.7,0.6000000000000001,Positive,5,0,1
update teroz ngalah2in mbankingnya bca,1,0.0,0.0,Negative,5,0,0
"untuk belanja off line memuaskan, karena barang lengkap dan fresh tapi pengalaman belanja online agak mengecewakan karena pesan dari pagi, sore baru diantar.",2,0.3,0.5,Negative,23,0,3
"Notifikasi ganggu, dan jelek suara notifnya mending saya nonaktifin aja",1,0.0,0.0,Negative,10,1,1
mantap hemat kuat dan cepat,5,0.0,0.0,Positive,5,0,0
sudah diupgrade tapi gak bisa dibuka,4,0.0,0.0,Positive,6,0,0
aplikasi nya eror mulu,1,0.0,0.0,Negative,4,0,0
bagus,5,0.0,0.0,Positive,1,0,0
baik,5,0.0,0.0,Positive,1,0,0
keren,5,0.0,0.0,Positive,1,0,0
belanja kebutuhan sehari hari pasti lebih murah dan lebih untung pakai this aplikasi my Super indo apalagi saat Ramadhan dan Lebaran dan acara kumoul kumpul dan Natal dan Tahun Baru serta keagamaan lainnya pastinya lebih murah disini aja dimana sih ya di My Super Indo recomended aplikasi and tray this aplikasi good price kk,5,0.45555555555555555,0.6444444444444445,Positive,54,9,0
"informatif dan memudahkan kalau mau belanja tapi belum sempet, tinggal klik klik belanjaan sampe rumah. atauuu bisa juga buat cek cek diskonan kalo pas mau belanja bund biar budgeting lebih aman hehehe. goodjob superindoo👍🏻",5,0.0,0.0,Positive,34,0,3
bagus,5,0.0,0.0,Positive,1,0,0
Belanja di Superindo nyaman pool gais,5,0.0,0.0,Positive,6,2,0
